Item Code,Standard or NonStandard
SECTION 205,Non-Standard
KM 05,Non-Standard
KM 09,Non-Standard
C STIFFNER,Non-Standard
DP 100,Standard
GROOVE 5474,Non-Standard
GROOVE 5475,Non-Standard
GROOVE 5476,Non-Standard
SECTION 255,Non-Standard
SL DEGREE 92,Non-Standard
125X50 JL,Non-Standard
100 IC (95 D),Irregular
110 IC X 110 IC,Non-Standard
130 IC X 130 IC,Non-Standard
GROOVE 6609,Non-Standard
GROOVE 6610,Non-Standard
GROOVE 6611,Non-Standard
GROOVE 6612,Non-Standard
GROOVE 6613,Non-Standard
GROOVE 6615,Non-Standard
GROOVE 6616,Non-Standard
GROOVE 6617,Non-Standard
GROOVE 6633,Non-Standard
GROOVE 6634,Non-Standard
GROOVE 6635,Non-Standard
GROOVE 6636,Non-Standard
GROOVE 6637,Non-Standard
GROOVE 6640,Non-Standard
GROOVE 6656,Non-Standard
GROOVE 6657,Non-Standard
GROOVE 6658,Non-Standard
GROOVE 95804,Non-Standard
I STIFFNER,Standard
SECTION 250,Irregular
CORNER,Non-Standard
230 T,Non-Standard
EC 60 DEGREE,Non-Standard
58 MM FLAT RAIL,Irregular
FLUTTING RKS,Non-Standard
FIN RKS,Non-Standard
145MM END CAP,Non-Standard
ROUND PIPE 16 MM,Non-Standard
290 T,Non-Standard
280 T,Non-Standard
210 T,Non-Standard
ROUND PIPE 38 MM,Standard
SECTION 210,Non-Standard
STR 150 X 315,Non-Standard
STR 150 X 365,Non-Standard
STR 160 X 315,Non-Standard
STR 175 X 315,Non-Standard
65 MM CORNER PATTI,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,Non-Standard
360 T,Non-Standard
GROOVE 75 X 50 X 40,Non-Standard
ALU SHEET 4.0 X 1200 X 2400 MM,Non-Standard
GROOVE 5436,Non-Standard
200 L,Standard
GROOVE 30X15X3,Non-Standard
205 T,Irregular
250 L,Standard
SAMPLE,Non-Standard
Y STIFFNER,Non-Standard
140 MM RAIL,Non-Standard
SKIRTING GROOVE (150 X 140 X 20),Irregular
225 L,Standard
500 C FSW,Non-Standard
600 C FSW,Non-Standard
400 C FSW,Non-Standard
450 C FSW,Non-Standard
300 C FSW,Non-Standard
350 C FSW,Non-Standard
EB/MB 150,Non-Standard
DP 150,Non-Standard
ALUMINIUM SHEET - 6061 GRADE,Non-Standard
commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,Non-Standard
STIFFENER 100 MM,Non-Standard
TERRACE FLUTING,Non-Standard
GROOVE 150X155X10,Non-Standard
GROOVE 6605,Non-Standard
WINDOW NOTCH GROOVE (100X20),Non-Standard
J 75,Non-Standard
J 80,Non-Standard
GROOVE 6677,Non-Standard
DLF C-150,Non-Standard
DLF CORNICE,Non-Standard
SKIRTING GROOVE (RAMKY) 125X120X6,Non-Standard
WRONG PROFILE,Non-Standard
100MM END CAP 4MM,Non-Standard
BEAM BAR 150,Non-Standard
